Medicine,Category,Year-Month,Season,Units Sold,Stock Available,Expiry Date
Chlorpheniramine + Dextromethorphan,Cough,2024-06,Summer,1571,922,2026-12-31
Chlorpheniramine Maleate,Cold,2024-02,Winter,1785,1264,2026-12-31
Dextromethorphan,Cough,2024-04,Spring,1599,1445,2026-12-31
Carbocisteine,Cough,2024-10,Monsoon,1490,698,2026-12-31
Diphenhydramine,Cold,2024-02,Winter,1677,913,2026-12-31
Diphenhydramine,Cold,2024-08,Summer,1719,913,2026-12-31
Paracetamol,Fever,2024-03,Spring,1693,946,2026-12-31
Naproxen,Fever,2024-07,Summer,1779,1446,2026-12-31
Acebrophylline,Cough,2024-05,Spring,1699,1143,2026-12-31
Celecoxib,Fever,2024-07,Summer,1954,1489,2026-12-31
Celecoxib,Fever,2024-10,Monsoon,1832,1489,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-08,Summer,1689,922,2026-12-31
Chlorpheniramine Maleate,Cold,2024-12,Winter,1593,1264,2026-12-31
Dextromethorphan,Cough,2024-06,Summer,1999,1445,2026-12-31
Dextromethorphan,Cough,2024-12,Winter,1534,1445,2026-12-31
Carbocisteine,Cough,2024-09,Monsoon,1270,698,2026-12-31
Aspirin,Fever,2024-07,Summer,1800,623,2026-12-31
Montelukast,Cold,2024-11,Monsoon,1581,1352,2026-12-31
Bromhexine,Cough,2024-11,Monsoon,1484,872,2026-12-31
Ibuprofen,Fever,2024-01,Winter,1837,1477,2026-12-31
Chlorpheniramine Maleate,Cold,2024-11,Monsoon,1819,1264,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-12,Winter,1597,922,2026-12-31
Pseudoephedrine,Cold,2024-11,Monsoon,1977,1024,2026-12-31
Ketorolac,Fever,2024-03,Spring,1668,1024,2026-12-31
Naproxen,Fever,2024-11,Monsoon,1795,1446,2026-12-31
Montelukast,Cold,2024-08,Summer,1987,1352,2026-12-31
Guaifenesin,Cough,2024-07,Summer,1572,716,2026-12-31
Paracetamol,Fever,2024-03,Spring,1789,946,2026-12-31
Montelukast,Cold,2024-06,Summer,1793,1352,2026-12-31
Paracetamol,Cold,2024-06,Summer,1607,1346,2026-12-31
Terbutaline,Cough,2024-08,Summer,2007,1365,2026-12-31
Codeine (Prescription Only),Cough,2024-04,Spring,1748,1806,2026-12-31
Naproxen,Fever,2024-08,Summer,1751,1446,2026-12-31
Fexofenadine,Cold,2024-06,Summer,1581,1020,2026-12-31
Diphenhydramine,Cold,2024-03,Spring,1625,913,2026-12-31
Paracetamol,Fever,2024-12,Winter,1674,946,2026-12-31
Paracetamol,Fever,2024-04,Spring,1319,946,2026-12-31
Guaifenesin,Cough,2024-04,Spring,1798,716,2026-12-31
Ketorolac,Fever,2024-08,Summer,1606,1024,2026-12-31
Paracetamol,Cold,2024-05,Spring,1629,1346,2026-12-31
Carbocisteine,Cough,2024-11,Monsoon,1632,698,2026-12-31
Paracetamol,Fever,2024-11,Monsoon,1393,946,2026-12-31
Diclofenac,Fever,2024-10,Monsoon,1686,1660,2026-12-31
Fexofenadine,Cold,2024-04,Spring,1817,1020,2026-12-31
Aspirin,Fever,2024-05,Spring,1985,623,2026-12-31
Cetirizine,Cold,2024-11,Monsoon,1847,1246,2026-12-31
Aspirin,Fever,2024-04,Spring,1752,623,2026-12-31
Terbutaline,Cough,2024-04,Spring,1856,1365,2026-12-31
Diclofenac,Fever,2024-12,Winter,1857,1660,2026-12-31
Codeine (Prescription Only),Cough,2024-03,Spring,1487,1806,2026-12-31
Guaifenesin,Cough,2024-09,Monsoon,1283,716,2026-12-31
Bromhexine,Cough,2024-12,Winter,1683,872,2026-12-31
Cetirizine,Cold,2024-01,Winter,1770,1246,2026-12-31
Celecoxib,Fever,2024-03,Spring,1504,1489,2026-12-31
Paracetamol,Fever,2024-05,Spring,1791,946,2026-12-31
Phenylephrine,Cold,2024-09,Monsoon,1652,1704,2026-12-31
Acetaminophen,Fever,2024-06,Summer,1565,1460,2026-12-31
Ketorolac,Fever,2024-03,Spring,1813,1024,2026-12-31
Guaifenesin,Cough,2024-07,Summer,1357,716,2026-12-31
Phenylephrine,Cold,2024-03,Spring,1742,1704,2026-12-31
Cetirizine,Cold,2024-07,Summer,1441,1246,2026-12-31
Diclofenac,Fever,2024-08,Summer,2120,1660,2026-12-31
Montelukast,Cold,2024-01,Winter,1779,1352,2026-12-31
Levocetirizine,Cold,2024-08,Summer,1694,1150,2026-12-31
Nimesulide,Fever,2024-10,Monsoon,1848,659,2026-12-31
Levocetirizine,Cold,2024-10,Monsoon,1609,1150,2026-12-31
Carbocisteine,Cough,2024-09,Monsoon,1299,698,2026-12-31
Aspirin,Fever,2024-01,Winter,1684,623,2026-12-31
Nimesulide,Fever,2024-07,Summer,1539,659,2026-12-31
Levocetirizine,Cold,2024-12,Winter,1474,1150,2026-12-31
Pseudoephedrine,Cold,2024-01,Winter,1798,1024,2026-12-31
Phenylephrine,Cold,2024-10,Monsoon,1889,1704,2026-12-31
Paracetamol,Fever,2024-07,Summer,1718,946,2026-12-31
Acebrophylline,Cough,2024-12,Winter,1907,1143,2026-12-31
Acetaminophen,Fever,2024-06,Summer,1584,1460,2026-12-31
Dextromethorphan,Cough,2024-10,Monsoon,1878,1445,2026-12-31
Nimesulide,Fever,2024-10,Monsoon,1641,659,2026-12-31
Nimesulide,Fever,2024-02,Winter,1533,659,2026-12-31
Dextromethorphan,Cough,2024-03,Spring,1510,1445,2026-12-31
Levodropropizine,Cough,2024-11,Monsoon,1265,808,2026-12-31
Levodropropizine,Cough,2024-10,Monsoon,1719,808,2026-12-31
Levocetirizine,Cold,2024-05,Spring,1562,1150,2026-12-31
Mefenamic Acid,Fever,2024-03,Spring,1598,1021,2026-12-31
Levocetirizine,Cold,2024-06,Summer,1442,1150,2026-12-31
Diphenhydramine,Cold,2024-08,Summer,1853,913,2026-12-31
Nimesulide,Fever,2024-05,Spring,1786,659,2026-12-31
Naproxen,Fever,2024-06,Summer,1829,1446,2026-12-31
Pseudoephedrine,Cold,2024-02,Winter,1520,1024,2026-12-31
Terbutaline,Cough,2024-06,Summer,1490,1365,2026-12-31
Diclofenac,Fever,2024-01,Winter,1991,1660,2026-12-31
Chlorpheniramine Maleate,Cold,2024-05,Spring,1556,1264,2026-12-31
Terbutaline,Cough,2024-02,Winter,1402,1365,2026-12-31
Naproxen,Fever,2024-08,Summer,1612,1446,2026-12-31
Levodropropizine,Cough,2024-03,Spring,1675,808,2026-12-31
Diclofenac,Fever,2024-09,Monsoon,1572,1660,2026-12-31
Levocetirizine,Cold,2024-04,Spring,1840,1150,2026-12-31
Acebrophylline,Cough,2024-05,Spring,1633,1143,2026-12-31
Levodropropizine,Cough,2024-11,Monsoon,1147,808,2026-12-31
Paracetamol,Cold,2024-10,Monsoon,1651,1346,2026-12-31
Levocetirizine,Cold,2024-12,Winter,1566,1150,2026-12-31
Acetaminophen,Fever,2024-05,Spring,1449,1460,2026-12-31
Chlorpheniramine Maleate,Cold,2024-04,Spring,1762,1264,2026-12-31
Diclofenac,Fever,2024-10,Monsoon,1822,1660,2026-12-31
Chlorpheniramine Maleate,Cold,2024-11,Monsoon,1709,1264,2026-12-31
Guaifenesin,Cough,2024-09,Monsoon,1468,716,2026-12-31
Chlorpheniramine + Dextromethorphan,Cough,2024-01,Winter,1812,922,2026-12-31
Nimesulide,Fever,2024-03,Spring,1676,659,2026-12-31
Dextromethorphan,Cough,2024-06,Summer,1855,1445,2026-12-31
Mefenamic Acid,Fever,2024-12,Winter,1853,1021,2026-12-31
Acetaminophen,Fever,2024-09,Monsoon,1765,1460,2026-12-31
Paracetamol,Cold,2024-12,Winter,1468,1346,2026-12-31
Fexofenadine,Cold,2024-12,Winter,1741,1020,2026-12-31
Naproxen,Fever,2024-11,Monsoon,1765,1446,2026-12-31
Codeine (Prescription Only),Cough,2024-07,Summer,1563,1806,2026-12-31
Naproxen,Fever,2024-02,Winter,1720,1446,2026-12-31
Mefenamic Acid,Fever,2024-04,Spring,1691,1021,2026-12-31
Paracetamol,Cold,2024-11,Monsoon,1505,1346,2026-12-31
